# Метеостанция Огурцово, Россия, WMO_ID=29638, выборка с 01.06.2019 по 31.08.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=29638&lang=ru
#
# "Местное время в Огурцово";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.08.2019 22:00";"17.0";"738.9";"750.4";"-1.6";"55";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"7.7";"";"";"";"";"";"";
"31.08.2019 19:00";"21.0";"740.5";"751.9";"0.0";"33";"Ветер, дующий с юго-запада";"2";"";"14";"70 – 80%.";" ";"";"";"";"25.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"27.0";"4.1";"Осадков нет";"12";"";"";"";"";
"31.08.2019 16:00";"24.4";"740.5";"751.7";"-0.3";"28";"Ветер, дующий с юго-юго-запада";"6";"";"12";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"26.0";"4.6";"";"";"";"";"";"";
"31.08.2019 13:00";"24.8";"740.8";"752.1";"-1.2";"28";"Ветер, дующий с юга";"8";"11";"12";"60%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"23.0";"5.2";"";"";"";"";"";"";
"31.08.2019 10:00";"19.1";"742.0";"753.4";"-0.6";"48";"Ветер, дующий с юга";"4";"";"";"40%.";" ";"";"";"12.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"21.0";"7.8";"";"";"";"";"";"";
"31.08.2019 07:00";"12.9";"742.6";"754.3";"0.0";"70";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";" ";"";"";"12.9";"";"";"";"";"";"";"18.0";"7.6";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"10.0";"";"";
"31.08.2019 04:00";"14.2";"742.6";"754.3";"0.5";"70";"Ветер, дующий с юго-юго-востока";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.8";"";"";"";"";"";"";
"31.08.2019 01:00";"16.1";"742.1";"753.7";"0.7";"61";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"8.5";"";"";"";"";"";"";
"30.08.2019 22:00";"19.1";"741.4";"752.8";"2.5";"36";"Ветер, дующий с юга";"2";"";"13";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"3.7";"";"";"";"";"";"";
"30.08.2019 19:00";"26.0";"738.9";"750.1";"0.8";"27";"Ветер, дующий с юго-запада";"6";"12";"15";"70 – 80%.";" ";"";"";"";"29.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"21.0";"5.6";"Осадков нет";"12";"";"";"";"";
